行业,代码,公司,最终状态,首个定量淘汰原因,定性结论,PE_TTM,最新ROE_pct,近3期ROE中位数_pct,ROE除以PE,最新毛利率_pct,近3期毛利率中位数_pct,最新资产负债率_pct,最新ROIC_pct,近3期ROIC中位数_pct,本地资料
必选消费,00151,中国旺旺,通过初筛,,食品饮料主业清晰，品牌与全国渠道构成供给侧优势；低杠杆、高回报，长期分红并有回购记录。,9.44,20.4,25.4,2.16,46.3,46.6,30.4,21.3,21.6,stocks/必选消费/HK_中国旺旺(00151).md
必选消费,00168,青岛啤酒股份,定量淘汰,最新ROIC<15%或未披露,未进入定性复核,11.63,15.4,15.4,1.32,41.8,40.2,39.6,12.9,14,stocks/必选消费/HK_青岛啤酒股份(00168).md
必选消费,00220,统一企业中国,定量淘汰,近3期ROE中位数<15%,未进入定性复核,13.81,15.2,13.8,1.10,33.2,32.5,44.5,10.3,9.3,stocks/必选消费/HK_统一企业中国(00220).md
必选消费,00288,万洲国际,定量淘汰,最新ROE<15%,未进入定性复核,8.29,14.3,14.3,1.72,17.8,19.5,41.6,9.2,9.2,stocks/必选消费/HK_万洲国际(00288).md
必选消费,00291,华润啤酒,定量淘汰,最新ROE<15%,未进入定性复核,20.67,10.5,15.3,0.51,43.1,42.6,47.6,5.6,7.7,stocks/必选消费/HK_华润啤酒(00291).md
必选消费,00322,康师傅控股,定量淘汰,最新毛利率<40%或未披露,未进入定性复核,12.83,30.8,26.6,2.40,34.8,33.1,66.3,11.5,9.4,stocks/必选消费/HK_康师傅控股(00322).md
必选消费,00336,华宝国际,定量淘汰,无有效正PE（亏损或资料缺失）,未进入定性复核,-21.75,-3.3,-3.1,0.15,40.8,42.7,9.4,-4.6,-4,stocks/必选消费/HK_华宝国际(00336).md
必选消费,00345,维他奶国际,定量淘汰,最新ROE<15%,未进入定性复核,23.6,9.2,7.7,0.39,51,51,44,6.6,5.2,stocks/必选消费/HK_维他奶国际(00345).md
必选消费,00506,中国食品,定量淘汰,最新ROE<15%,未进入定性复核,9.58,12.9,13.8,1.35,37.1,37.1,42.6,8.6,8.6,stocks/必选消费/HK_中国食品(00506).md
必选消费,00546,阜丰集团,定量淘汰,最新ROE<15%,未进入定性复核,4.71,13,13,2.76,19.7,19.7,55.5,8.9,9,stocks/必选消费/HK_阜丰集团(00546).md
必选消费,01044,恒安国际,定量淘汰,最新ROE<15%,未进入定性复核,9.71,11.9,11.9,1.23,33.8,33.7,49.1,9.6,9.8,stocks/必选消费/HK_恒安国际(01044).md
必选消费,01112,H&H国际控股,定量淘汰,最新ROE<15%,未进入定性复核,44.71,3.3,3.3,0.07,62.4,60.6,69.1,1.1,1.1,stocks/必选消费/HK_H&H国际控股(01112).md
必选消费,01117,现代牧业,定量淘汰,无有效正PE（亏损或资料缺失）,未进入定性复核,-7.79,-12.7,-12.7,1.63,27.4,26,73.2,-3.9,-3.9,stocks/必选消费/HK_现代牧业(01117).md
必选消费,01475,日清食品,定量淘汰,最新ROE<15%,未进入定性复核,19.58,8.9,8.9,0.45,34.6,34.4,21.3,10.1,10.1,stocks/必选消费/HK_日清食品(01475).md
必选消费,01579,颐海国际,定量淘汰,最新毛利率<40%或未披露,未进入定性复核,16.49,18.3,18.3,1.11,32.7,31.6,16.7,23.9,23.9,stocks/必选消费/HK_颐海国际(01579).md
必选消费,01610,中粮家佳康,定量淘汰,无有效正PE（亏损或资料缺失）,未进入定性复核,-6.16,-8.3,-1.6,1.35,1.8,2.9,59.3,-3.7,-0.8,stocks/必选消费/HK_中粮家佳康(01610).md
必选消费,01768,鸣鸣很忙,定量淘汰,最新毛利率<40%或未披露,未进入定性复核,31.61,33.7,16.2,1.07,9.8,7.6,35.8,27.2,12.6,stocks/必选消费/HK_鸣鸣很忙(01768).md
必选消费,01876,百威亚太,定量淘汰,最新ROE<15%,未进入定性复核,23.36,4.8,6.9,0.21,50.1,50.4,30.1,4.1,5.9,stocks/必选消费/HK_百威亚太(01876).md
必选消费,02145,上美股份,定量淘汰,最新资产负债率>40%或未披露,未进入定性复核,9.12,44.5,37.2,4.88,76.4,75.2,42.1,30.8,28.4,stocks/必选消费/HK_上美股份(02145).md
必选消费,02218,安德利果汁,定量淘汰,最新ROE<15%,未进入定性复核,14.29,12.2,10.4,0.85,24.3,24.8,5.3,13,11.5,stocks/必选消费/HK_安德利果汁(02218).md
必选消费,02319,蒙牛乳业,定量淘汰,最新ROE<15%,未进入定性复核,40.89,3.8,3.8,0.09,39.9,39.6,51.1,1.9,1.9,stocks/必选消费/HK_蒙牛乳业(02319).md
必选消费,02367,巨子生物,定性淘汰,,重组胶原蛋白、医用敷料及功能食品并行，涉及生物活性、医疗监管与功效验证，产品复杂。,14.42,22.5,36,1.56,80.3,82.1,8.5,45,63.9,stocks/必选消费/HK_巨子生物(02367).md
必选消费,02419,德康农牧,定量淘汰,最新毛利率<40%或未披露,未进入定性复核,12.14,17.1,17.1,1.41,13.7,13.7,61.9,7.7,7.7,stocks/必选消费/HK_德康农牧(02419).md
必选消费,02460,华润饮料,定量淘汰,最新ROE<15%,未进入定性复核,16.47,8.9,18,0.54,45.7,45.7,26.5,12.4,17,stocks/必选消费/HK_华润饮料(02460).md
必选消费,02517,锅圈,定量淘汰,最新ROE<15%,未进入定性复核,10.3,14,8.2,1.36,21.6,21.9,39.3,13,7.9,stocks/必选消费/HK_锅圈(02517).md
必选消费,02648,安井食品,定量淘汰,最新ROE<15%,未进入定性复核,14.15,9.6,11.6,0.68,21.6,22.6,23.4,9,10.9,stocks/必选消费/HK_安井食品(02648).md
必选消费,02698,乐舒适,定量淘汰,最新毛利率<40%或未披露,未进入定性复核,20.52,31.2,84.4,1.52,35.9,35.2,16.4,44.9,43.5,stocks/必选消费/HK_乐舒适(02698).md
必选消费,02714,牧原股份,定量淘汰,最新毛利率<40%或未披露,未进入定性复核,17.4,20.7,20.7,1.19,17.8,17.8,54.2,9.6,9.6,stocks/必选消费/HK_牧原股份(02714).md
必选消费,03288,海天味业,定量淘汰,ROE/PE<1,未进入定性复核,22.44,19.5,20.5,0.87,39.4,36.2,19.8,31.1,35.6,stocks/必选消费/HK_海天味业(03288).md
必选消费,06055,中烟香港,定量淘汰,最新毛利率<40%或未披露,未进入定性复核,15.28,29.5,29.5,1.93,10.1,10.1,57.1,16,15.5,stocks/必选消费/HK_中烟香港(06055).md
必选消费,06090,不同集团,定量淘汰,最新ROE<15%,未进入定性复核,52.82,12.4,-21.2,0.23,49.5,50.2,25,13.9,13.9,stocks/必选消费/HK_不同集团(06090).md
